Date,Time,Title,Location,Link,Categories
"Monday, May 6, 2024",NOON,IPR Colloq.: S. Nuamah (IPR/SESP) - Mules: The Punishment…,Evanston,https://planitpurple.northwestern.edu/event/611356,"Academic, Lectures & Meetings"
"Monday, May 6, 2024",NOON,"REACT Core Facility ""For the General User"" Series",Evanston,https://planitpurple.northwestern.edu/event/611928,Lectures & Meetings
"Monday, May 6, 2024",4:00 PM,"Seminar: Drew Adams, PhD | From phenotypic screens to therapeutic…",Evanston,https://planitpurple.northwestern.edu/event/615789,Lectures & Meetings
"Monday, May 6, 2024",5:00 PM,The 1948 War | Israel & Palestine: Joint Speaker Series…,Evanston,https://planitpurple.northwestern.edu/event/612736,Global & Civic Engagement
"Friday, May 3, 2024",8:00 AM,Translational Research in Malignancies Symposium,Chicago,https://planitpurple.northwestern.edu/event/615327,"Other, Lectures & Meetings"
"Friday, May 3, 2024",NOON,Fulbright Research/Study/Arts Application Workshop,Evanston,https://planitpurple.northwestern.edu/event/611497,"Academic, Global & Civic Engagement"
"Friday, May 3, 2024",12:30 PM,Buffett Faculty Lunch: Global Infrastructures: Digital…,Evanston,https://planitpurple.northwestern.edu/event/610398,"Global & Civic Engagement, Academic, Social"
"Friday, May 3, 2024",7:00 PM,THE HILLS (2023) with Ines Sommer,Evanston,https://planitpurple.northwestern.edu/event/615385,Fine Arts
"Monday, May 6, 2024",10:00 AM,MSE Resource Center Open Lab Sessions,Evanston,https://planitpurple.northwestern.edu/event/615396,Training
"Monday, May 6, 2024",NOON,Fulbright English Teaching Assistantships Information Session,Evanston,https://planitpurple.northwestern.edu/event/611748,"Academic, Global & Civic Engagement"
"Monday, May 6, 2024",NOON,IPR Colloq.: S. Nuamah (IPR/SESP) - Mules: The Punishment…,Evanston,https://planitpurple.northwestern.edu/event/611356,"Academic, Lectures & Meetings"
"Monday, May 6, 2024",NOON,"REACT Core Facility ""For the General User"" Series",Evanston,https://planitpurple.northwestern.edu/event/611928,Lectures & Meetings
"Monday, May 6, 2024",4:00 PM,"Seminar: Drew Adams, PhD | From phenotypic screens to therapeutic…",Evanston,https://planitpurple.northwestern.edu/event/615789,Lectures & Meetings
"Monday, May 6, 2024",5:00 PM,The 1948 War | Israel & Palestine: Joint Speaker Series…,Evanston,https://planitpurple.northwestern.edu/event/612736,Global & Civic Engagement
